id,source,medium,service,lifecycle,final_sale_value_raw,final_sale_value,quoted_value,created_at
472900923,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1782043122
472883944,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1782041623
472876584,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1782040139
472875926,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1782040002
472874001,Meta Ads,Paid Ads,Tinting,New Lead,,0.0,0.0,1782039601
472872375,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1782039250
472870468,Meta Ads,Paid Ads,Tinting,New Lead,,0.0,0.0,1782038839
472827474,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1782036055
472822807,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1782035596
472812854,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1782034053
472773173,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1782024798
472768699,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1782024176
472765685,Meta Ads,Paid Ads,Tinting,New Lead,,0.0,0.0,1782023471
472760366,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1782022154
472758043,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1782021596
472751479,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1782019857
472749955,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1782019442
472692288,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1782017210
472685160,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1782015343
472680003,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1782013967
472675392,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1782012729
472671034,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1782012007
472652632,Meta Ads,Paid Ads,Tinting,New Lead,,0.0,0.0,1782007227
472620190,Meta Ads,Paid Ads,Tinting,New Lead,,0.0,0.0,1781998934
472610526,Meta Ads,Paid Ads,Tinting,New Lead,,0.0,0.0,1781996647
472558174,Meta Ads,Paid Ads,Tinting,New Lead,,0.0,0.0,1781986342
472533209,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1781982338
472528139,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1781981909
472522791,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1781980918
472520289,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1781980529
